TransactionID,Items
107,"Cereal,Juice"
108,"Biscuits,Bread,Butter,Jam,Milk,Pasta"
109,"Butter,Eggs,Milk,Sugar"
110,"Cereal,Honey,Milk,Pasta"
111,"Bread,Butter"
112,"Biscuits,Butter,Cheese,Sugar,Tea"
113,"Biscuits,Cereal,Tea"
114,"Honey,Yogurt"
115,"Honey,Juice,Pasta,Yogurt"
116,"Butter,Cheese,Eggs,Milk"
117,"Butter,Eggs,Milk"
118,"Cheese,Pasta"
119,"Cereal,Honey,Milk,Yogurt"
120,"Bread,Butter,Juice"
121,"Honey,Sugar,Tea,Yogurt"
122,"Cereal,Honey,Milk"
123,"Bread,Butter,Cheese,Eggs,Honey,Milk"
124,"Bread,Butter,Cereal,Jam"
125,"Butter,Honey,Yogurt"
126,"Biscuits,Bread,Milk,Sugar,Tea"
127,"Butter,Eggs,Milk,Sugar"
128,"Biscuits,Bread,Butter,Jam,Sugar"
129,"Bread,Butter,Cheese,Coffee,Milk,Sugar"
130,"Bread,Butter"
131,"Bread,Butter,Juice"
132,"Biscuits,Sugar,Tea"
133,"Biscuits,Bread,Butter,Yogurt"
134,"Biscuits,Cereal,Sugar,Tea"
135,"Cereal,Juice,Pasta"
136,"Coffee,Milk"
137,"Cereal,Coffee,Milk,Sugar"
138,"Cereal,Cheese,Juice"
139,"Coffee,Milk,Sugar"
140,"Coffee,Milk"
141,"Biscuits,Eggs,Tea"
142,"Biscuits,Cheese,Honey,Tea"
143,"Cereal,Eggs,Juice"
144,"Bread,Butter,Coffee,Jam"
145,"Bread,Butter,Honey,Milk"
146,"Cereal,Jam,Juice"
147,"Butter,Eggs,Honey,Juice,Sugar"
148,"Bread,Butter"
149,"Biscuits,Butter,Eggs,Milk"
150,"Cereal,Honey,Milk"
151,"Butter,Cereal,Eggs,Jam,Milk,Yogurt"
152,"Biscuits,Bread,Butter,Milk,Sugar"
153,"Cheese,Coffee,Milk"
154,"Bread,Butter,Cereal,Jam,Sugar"
155,"Butter,Eggs,Jam"
156,"Coffee,Milk"
157,"Biscuits,Honey,Jam,Yogurt"
158,"Honey,Yogurt"
159,"Cheese,Pasta,Sugar"
160,"Coffee,Honey,Jam,Yogurt"
161,"Cereal,Eggs,Honey,Milk"
162,"Butter,Coffee,Juice,Milk,Yogurt"
163,"Bread,Cheese,Coffee,Sugar"
164,"Bread,Butter,Cheese,Eggs,Jam"
165,"Coffee,Milk,Pasta,Tea"
166,"Biscuits,Sugar,Tea"
167,"Biscuits,Juice,Tea"
168,"Butter,Eggs,Juice,Milk,Sugar"
169,"Honey,Milk,Yogurt"
170,"Cereal,Juice"
171,"Cereal,Honey,Milk"
172,"Biscuits,Bread,Sugar,Tea"
173,"Bread,Butter,Jam,Tea"
174,"Bread,Cheese"
175,"Biscuits,Juice,Pasta,Tea"
176,"Biscuits,Coffee,Eggs,Sugar,Tea"
177,"Coffee,Milk,Sugar"
178,"Cereal,Juice"
179,"Butter,Cereal,Eggs,Juice"
180,"Bread,Cheese,Eggs,Pasta,Sugar"
181,"Butter,Cereal,Eggs,Milk,Tea"
182,"Cereal,Honey,Tea,Yogurt"
183,"Bread,Cheese,Honey,Sugar,Tea"
184,"Cereal,Cheese,Coffee,Milk,Sugar,Tea"
185,"Biscuits,Cereal,Pasta,Sugar,Tea"
186,"Butter,Cheese,Eggs,Juice"
187,"Biscuits,Tea"
188,"Cheese,Eggs,Pasta"
189,"Bread,Butter,Pasta,Sugar"
190,"Butter,Eggs,Milk"
191,"Biscuits,Butter,Pasta,Sugar,Tea,Yogurt"
192,"Biscuits,Sugar,Tea"
193,"Coffee,Jam,Milk,Sugar,Tea"
194,"Coffee,Milk"
195,"Biscuits,Cereal,Coffee,Sugar,Tea"
196,"Cheese,Pasta"
197,"Bread,Cereal,Jam,Juice,Tea"
198,"Cereal,Coffee,Honey,Milk,Pasta"
199,"Butter,Eggs,Tea"
200,"Biscuits,Coffee,Sugar,Tea"
